Rank,Question ID,Category,Question,Vector Score,GPT-4o Score,Explanation,Match Path,SOW Context,SOW Filename,SOP Context
11,REGULATORY_COMP_006,Regulatory Compliance,Does the engagement have defined protocols to promptly report any compliance incidents or data breaches to customers and regulators as required by law?,0.025,7,"Compliance incident reporting is important for any engagement, especially given the SOW's reference to governance by a Master Agreement.",Via SOP match,"Statement of Work No. 24 Customer1 IT – Command Center This SOW No. 24 Customer1 IT – Command Center, dated January 1st, 2026 (“SOW Effective Date”), is entered into between Providence Global Center LLP (“GLOBALCENTER”) and Customer1 System Corporation d/b/a Custoadvmer1 (“Customer1”). This Order hereby incorporates and is governed by the Master Global Services Agreement entered between GLOBALCENT",Customer1 SOW No. 24 - Command Center_Draft.docx,Data Governance and Security Standard Operating Procedure Version: 1.0 Date: 28th April 2025 Owners Document History Purpose The purpose of this Standard Operating Procedure (SOP) document is to establish a comprehensive framework for data security within the organization for structured data at rest. It aims to protect sensitive information from unauthorized access and disclosure by outlining clea
12,TEAM_COMPOSITIO_003,Team Composition,Are backup resources or cross-training plans in place to cover critical roles and mitigate single points of failure on the team?,0.029,7,Backup resources and cross-training are important to mitigate risks associated with critical roles in the SOW.,Direct SOW match,"Effective Date. Role | Level | Count | Services | Rate Card Technology Management & Operations– Voice Engineer Moved from SOW 14 CO 3 | Associate | 2 | Voice Infrastructure Support – Assist in troubleshoot / configuration of VoIP telephony and Unified communications (as agreed). Support tasks associated with voice administration, including assisting with installation, configuration, and deployment",Customer1 SOW No. 25 -Voice Engineer_Draft.docx,
13,TEAM_COMPOSITIO_002,Team Composition,"Are roles and responsibilities within the team clearly defined and balanced across project management, technical, and domain areas to avoid gaps or overlaps?",0.033,7,"Clearly defined roles and responsibilities are important to avoid gaps or overlaps, as implied by the SOW's workforce augmentation.",Direct SOW match,"Date. Role | Level | Count | Services | Rate Card TMO - Network Engineer | Senior | 2 | Network Administration, Network Operations, Network Management, Routing Switching, Wireless Network, WLAN, WPA, Access Points and WLC management, Cisco ISE management, LAN/WAN Management, Wireless users management, Meraki Admin, Wireless configuration, Network BAU Tasks and Service Management | See Revised Role",Customer1 SOW No. 24 - Command Center_Draft.docx,
14,ACCESS_CONTROL_001,Access Control,Does the engagement enforce role-based access controls (RBAC) and conduct periodic access reviews for all accounts?,0.032,7,"Role-based access controls and periodic access reviews are important for security, especially since subcontractors may be used.",Direct SOW match,"Date. Role | Level | Count | Services | Rate Card TMO - Network Engineer | Senior | 2 | Network Administration, Network Operations, Network Management, Routing Switching, Wireless Network, WLAN, WPA, Access Points and WLC management, Cisco ISE management, LAN/WAN Management, Wireless users management, Meraki Admin, Wireless configuration, Network BAU Tasks and Service Management | See Revised Role",Customer1 SOW No. 24 - Command Center_Draft.docx,
15,ACCESS_CONTROL_007,Access Control,Are system access logs and administrator actions regularly monitored and audited for unusual access patterns or policy violations?,0.027,7,"Regular monitoring and auditing of system access logs are important for security, given the IT nature of the engagement.",Direct SOW match,"Date. Role | Level | Count | Services | Rate Card TMO - Network Engineer | Senior | 2 | Network Administration, Network Operations, Network Management, Routing Switching, Wireless Network, WLAN, WPA, Access Points and WLC management, Cisco ISE management, LAN/WAN Management, Wireless users management, Meraki Admin, Wireless configuration, Network BAU Tasks and Service Management | See Revised Role",Customer1 SOW No. 24 - Command Center_Draft.docx,
16,PERFORMANCE_MON_002,Performance Monitoring,"Are any deviations from project plan or performance metrics identified early and communicated, with corrective action plans developed and tracked?",0.028,7,"The SOW outlines a gradual ramp-up and role fulfillment timeline, making early identification of deviations important for meeting these requirements.",Direct SOW match,"to perform any material tasks or series of tasks that are collectively material or provide any material resources or collection of resources that are collectively material, to complete the Services or provide the Deliverables, then GLOBALCENTER will set forth such tasks and resources in this SOW or a project plan agreed upon in writing by Customer1 (“Project Plan”). The ownership of ""Application D",Customer1 SOW No. 25 -Voice Engineer_Draft.docx,
17,TEAM_COMPOSITIO_005,Team Composition,"Are processes in place to manage resource transitions (e.g., replacing staff with 30-60 days notice) without impacting timelines or quality?",0.03,7,"Managing resource transitions is important to avoid impacting timelines, as the SOW specifies a gradual ramp-up to meet requirements.",Direct SOW match,"Effective Date. Role | Level | Count | Services | Rate Card Technology Management & Operations– Voice Engineer Moved from SOW 14 CO 3 | Associate | 2 | Voice Infrastructure Support – Assist in troubleshoot / configuration of VoIP telephony and Unified communications (as agreed). Support tasks associated with voice administration, including assisting with installation, configuration, and deployment",Customer1 SOW No. 25 -Voice Engineer_Draft.docx,
18,SCOPE_CLARITY_004,Scope Clarity,"Are out-of-scope requests or tasks identified and managed via a formal process (logged, evaluated, and approved or deferred) to prevent scope creep?",0.032,6,"The SOW does not explicitly mention a process for managing out-of-scope requests, making this moderately relevant.",Direct SOW match,"for all automation pipelines. Integrates with Datadog and ServiceNow to trigger auto-remediation from alerts and incidents. Reports on automation success rate and MTTR reduction benefits. Ensures all scripts comply with internal standards and least privilege principles. | See Revised Role & Rate Card: 2.0 TMO –Tools Integration Engineer | Associate | 1 | Designs and maintains pipelines for log, me",Customer1 SOW No. 24 - Command Center_Draft.docx,
19,DATA_PROTECTION_006,Data Protection,"Are remote workstations and networks used by the delivery team required to meet security standards (VPN, updated antivirus, device encryption) to safeguard client data?",0.025,6,"Security standards for remote workstations are not detailed in the SOW, but are important for safeguarding client data, hence moderate relevance.",Via SOP match,"Statement of Work No. 25 Customer1 IT – Voice Engineering This SOW No. 25 Customer1 IT – Voice Engineering, dated January 1st, 2026 (“SOW Effective Date”), is entered into between Providence Global Center LLP (“GLOBALCENTER”) and Customer1 Health System Corporation d/b/a Customer1 (“Customer1”). This Order hereby incorporates and is governed by the Master Global Services Agreement entered between ",Customer1 SOW No. 25 -Voice Engineer_Draft.docx,"Workflow Migration Standard Operating Procedure Version: 1.0 Date: 28th April 2025 Owners Document History Purpose The purpose of this document is to outline a standardized approach for migrating data engineering workflows between platforms or environments, with a focus on maintaining data integrity, performance, and stakeholder satisfaction. The goal is to minimize disruption and data unavailabil"
20,DATA_PROTECTION_001,Data Protection,"Are all sensitive data (including PII/PHI) encrypted both at rest and in transit, using industry-standard encryption algorithms and key management practices?",0.026,6,"Encryption practices are not detailed in the SOW, but are important for IT services, hence moderate relevance.",Via SOP match,"Statement of Work No. 24 Customer1 IT – Command Center This SOW No. 24 Customer1 IT – Command Center, dated January 1st, 2026 (“SOW Effective Date”), is entered into between Providence Global Center LLP (“GLOBALCENTER”) and Customer1 System Corporation d/b/a Custoadvmer1 (“Customer1”). This Order hereby incorporates and is governed by the Master Global Services Agreement entered between GLOBALCENT",Customer1 SOW No. 24 - Command Center_Draft.docx,Data Governance and Security Standard Operating Procedure Version: 1.0 Date: 28th April 2025 Owners Document History Purpose The purpose of this Standard Operating Procedure (SOP) document is to establish a comprehensive framework for data security within the organization for structured data at rest. It aims to protect sensitive information from unauthorized access and disclosure by outlining clea
,,,,,,,,,,
,,,,,,,,,,
=== SOP Files ===,,,,,,,,,,
SOP  OnBoardingOffboarding.docx (Capability: data engineering),,,,,,,,,,
SOP Data Migration.docx (Capability: data engineering),,,,,,,,,,
SOP Requirement Intake.docx (Capability: data engineering),,,,,,,,,,
SOP Workflow Migration.docx (Capability: data engineering),,,,,,,,,,
SOP_Data Cataloging and Lineage.docx (Capability: data engineering),,,,,,,,,,
SOP_Data Governance and Security.docx (Capability: data engineering),,,,,,,,,,
,,,,,,,,,,
=== Questions File ===,,,,,,,,,,
Tech_Assessment_Questions_ServiceDelivery.xlsx,,,,,,,,,,
,,,,,,,,,,
=== SOW Files ===,,,,,,,,,,
Customer1 SOW No. 24 - Command Center_Draft.docx,,,,,,,,,,
Customer1 SOW No. 25 -Voice Engineer_Draft.docx,,,,,,,,,,
